"source","Year","level","CUR","HEAD","diff_CUR_minus_HEAD"
"GBD",2019,"[1,2]y",40,40,0
"GBD",2019,"[13,18]y",28,28,0
"GBD",2019,"[3,5]y",32,32,0
"GBD",2019,"[3,6]m",45,45,0
"GBD",2019,"[6,12]y",36,36,0
"GBD",2021,"[1,2]y",40,40,0
"GBD",2021,"[13,18]y",28,28,0
"GBD",2021,"[3,5]y",32,32,0
"GBD",2021,"[3,6]m",45,45,0
"GBD",2021,"[6,12]y",36,36,0
"WHO",2019,"[1,2]y",38,38,0
"WHO",2019,"[13,18]y",23,23,0
"WHO",2019,"[3,5]y",30,30,0
"WHO",2019,"[3,6]m",36,36,0
"WHO",2019,"[6,12]y",27,27,0
"WHO",2021,"[1,2]y",35,35,0
"WHO",2021,"[13,18]y",26,26,0
"WHO",2021,"[3,5]y",27,27,0
"WHO",2021,"[3,6]m",31,31,0
"WHO",2021,"[6,12]y",29,29,0
"WHO",2024,"[1,2]y",40,40,0
"WHO",2024,"[13,18]y",26,26,0
"WHO",2024,"[3,5]y",30,30,0
"WHO",2024,"[3,6]m",31,31,0
"WHO",2024,"[6,12]y",34,34,0
