"source","Year","level","CUR","HEAD","diff_CUR_minus_HEAD"
"GBD",2019,"3",49,49,0
"GBD",2019,"4",51,51,0
"GBD",2019,"5",53,53,0
"GBD",2019,"6",28,28,0
"GBD",2021,"3",49,49,0
"GBD",2021,"4",51,51,0
"GBD",2021,"5",53,53,0
"GBD",2021,"6",28,28,0
"WHO",2019,"3",40,40,0
"WHO",2019,"4",47,47,0
"WHO",2019,"5",46,46,0
"WHO",2019,"6",21,21,0
"WHO",2021,"3",34,34,0
"WHO",2021,"4",43,43,0
"WHO",2021,"5",46,46,0
"WHO",2021,"6",25,25,0
"WHO",2024,"3",35,35,0
"WHO",2024,"4",50,50,0
"WHO",2024,"5",51,51,0
"WHO",2024,"6",25,25,0
