"","model","source","year","term","median","lower","upper","pr_gt_zero","rr_median","rr_lower","rr_upper"
"1","GBD_2019","GBD",2019,"Intercept",-5.50038021246812,-6.10593818577438,-4.89493359122813,0,0.00408521789236632,0.00222958862020004,0.00748440623762181
"2","GBD_2019","GBD",2019,"VaccineDose4",0.467380224317087,-0.333195869024948,1.29840723357514,0.891,1.5958080531054,0.716629814825088,3.66345698694243
"3","GBD_2019","GBD",2019,"VaccineDose5",0.509972741437136,-0.394685865974971,1.45235035636743,0.84525,1.66524580211984,0.673891698314095,4.27314613784069
"4","GBD_2019","GBD",2019,"VaccineDose6",0.0417534032934228,-0.972896542298831,1.08495831070264,0.5295,1.04263733611356,0.377986596759719,2.95931644434459
"5","GBD_2019","GBD",2019,"TimeFirstShotG1.52.5m",-0.402531259131252,-0.774864185813046,0.00358668643231027,0.02625,0.668625437949165,0.460766355357556,1.00359312628904
"6","GBD_2019","GBD",2019,"TimeFirstShotG2.53.0m",-0.74188839512316,-1.38080436109662,-0.109050383671271,0.00883333333333333,0.476213786097271,0.25137627442237,0.896685238065824
"7","GBD_2019","GBD",2019,"TimeLastShotG12y",-1.31324427259627,-2.19572601732657,-0.459568360348988,0.00108333333333333,0.268946105004642,0.111277742601311,0.631556191375932
"8","GBD_2019","GBD",2019,"TimeLastShotG35y",-1.39093158065407,-2.43748746978979,-0.440335208243714,0.00258333333333333,0.248843378941983,0.0873801210798459,0.643820570944936
"9","GBD_2019","GBD",2019,"TimeLastShotG612y",-1.32334821348798,-2.37540122384694,-0.336645723896122,0.00458333333333333,0.266242371639558,0.0929771770652433,0.714161805552242
"10","GBD_2019","GBD",2019,"TimeLastShotG1318y",-1.63587494896711,-2.79925391501392,-0.518375016137535,0.00175,0.19478187252302,0.0608554490288973,0.595487419629213
"11","GBD_2019","GBD",2019,"VaccinePregnantNotrecommended",0.112504944973001,-0.211880440874338,0.464259425711261,0.716083333333333,1.11907779070856,0.809061422460489,1.59083562057407
"12","GBD_2021","GBD",2021,"Intercept",-6.50101044799711,-7.81274099584522,-3.90701715883031,0,0.0015019208131074,0.000404547663271418,0.0201003679356123
"13","GBD_2021","GBD",2021,"VaccineDose4",-0.297521839906961,-1.50997891872261,0.877529071498668,0.312333333333333,0.742656363497781,0.22091463507299,2.40494989941982
"14","GBD_2021","GBD",2021,"VaccineDose5",0.112611000124074,-1.21419300334576,1.44715564582641,0.568333333333333,1.11919648096646,0.296949554924102,4.25100593631207
"15","GBD_2021","GBD",2021,"VaccineDose6",-0.656891106436423,-2.16890475838952,0.77410597875783,0.188416666666667,0.518460670609961,0.11430273749399,2.16865243890411
"16","GBD_2021","GBD",2021,"TimeFirstShotG1.52.5m",-0.824474829275553,-1.51329701017419,-0.131336804790821,0.00983333333333333,0.438465201097546,0.22018283487223,0.876922372991132
"17","GBD_2021","GBD",2021,"TimeFirstShotG2.53.0m",-1.24487840521068,-2.27499599912477,-0.19235677040848,0.0106666666666667,0.287975922373562,0.102797319713714,0.825012475941487
"18","GBD_2021","GBD",2021,"TimeLastShotG12y",-0.842611281824929,-2.10548008809728,0.442445990831708,0.0985833333333333,0.430584676177595,0.121787191650686,1.55650977474513
"19","GBD_2021","GBD",2021,"TimeLastShotG35y",-1.20190173194299,-2.60283792175565,0.18987859263858,0.0470833333333333,0.300621965560412,0.074063094420385,1.20910279476596
"20","GBD_2021","GBD",2021,"TimeLastShotG612y",-1.40500496421555,-2.80643759264372,-0.0169295658509723,0.0234166666666667,0.245365838400992,0.0604198495773404,0.983212933962439
"21","GBD_2021","GBD",2021,"TimeLastShotG1318y",-1.51379913726211,-3.04703115871583,0.0121759941300953,0.0260833333333333,0.220072302859428,0.0474997344389638,1.012250423323
"22","GBD_2021","GBD",2021,"VaccinePregnantNotrecommended",-0.375770604215004,-0.981170935808756,0.244221023578596,0.11575,0.686759854790191,0.374871890838709,1.27662646385881
"23","WHO_2019","WHO",2019,"Intercept",-10.3230798272058,-13.1927345754276,-4.65927991141339,8.33333333333333e-05,3.28657384533908e-05,1.86409556278294e-06,0.00947328154814144
"24","WHO_2019","WHO",2019,"VaccineDose4",0.0351838740209192,-1.28962102548265,1.40912923580848,0.51925,1.03581014986767,0.27537512347184,4.09239034516334
"25","WHO_2019","WHO",2019,"VaccineDose5",-0.181671028340792,-1.66257014961189,1.34538037934999,0.408583333333333,0.833875616743905,0.189650921935523,3.83964678520723
"26","WHO_2019","WHO",2019,"VaccineDose6",0.245050956563563,-1.51671807706049,1.99903084615961,0.601833333333333,1.27768641805529,0.219430861675626,7.38189843583407
"27","WHO_2019","WHO",2019,"TimeFirstShotG1.52.5m",-0.310403563612199,-1.19324088890294,0.589325315839235,0.253666666666667,0.733151023439147,0.30323691269625,1.80277170348207
