"","model","source","year","term","median","lower","upper","pr_gt_zero","rr_median","rr_lower","rr_upper"
"28","WHO_2019","WHO",2019,"TimeFirstShotG2.53.0m",1.21404588688863,-0.0476722489418982,2.48791788898485,0.970666666666667,3.36707995612089,0.953446228883501,12.0361893303815
"29","WHO_2019","WHO",2019,"TimeLastShotG12y",1.17747980352064,-0.326347794591832,2.59146979354104,0.93925,3.24618286670486,0.721554191141277,13.3493780205648
"30","WHO_2019","WHO",2019,"TimeLastShotG35y",2.23068877045166,0.574457593940361,3.83375779111924,0.995083333333333,9.30627375890033,1.77616686191996,46.2359572634941
"31","WHO_2019","WHO",2019,"TimeLastShotG612y",1.46452779168859,-0.237595900934499,3.07639287204361,0.95375,4.32550022081808,0.788521267428531,21.6800584379153
"32","WHO_2019","WHO",2019,"TimeLastShotG1318y",1.99470464263056,0.188168654757574,3.81339740658926,0.9835,7.35003182120159,1.20703707072838,45.3040941317415
"33","WHO_2019","WHO",2019,"VaccinePregnantNotrecommended",-1.0593941215132,-1.83014589856667,-0.27576597889969,0.00366666666666667,0.34666578405502,0.160390165372789,0.758990529778376
"34","WHO_2021","WHO",2021,"Intercept",-9.97995214952141,-14.9608503483849,-4.00422397731713,8.33333333333333e-05,4.63192855277609e-05,3.18115806720123e-07,0.0182384372093766
"35","WHO_2021","WHO",2021,"VaccineDose4",0.24013145271361,-1.19541103322802,1.69620416016925,0.627916666666667,1.27141627045585,0.302579558365879,5.45320854974857
"36","WHO_2021","WHO",2021,"VaccineDose5",-0.57374078234445,-2.14518873832871,1.07849222072113,0.238083333333333,0.563413883020543,0.117045943903447,2.94024296978869
"37","WHO_2021","WHO",2021,"VaccineDose6",-0.268040221892972,-2.10981193292049,1.58572199323561,0.382583333333333,0.764877015682685,0.121260769447835,4.88281546591314
"38","WHO_2021","WHO",2021,"TimeFirstShotG1.52.5m",-0.0980845283679765,-1.16198012994276,0.997807063850737,0.430833333333333,0.906572269440691,0.312866051680021,2.71232734126489
"39","WHO_2021","WHO",2021,"TimeFirstShotG2.53.0m",1.30307615958492,-0.161618351485166,2.70921607298602,0.960583333333333,3.68060138838135,0.850765836106537,15.0174982766495
"40","WHO_2021","WHO",2021,"TimeLastShotG12y",-0.256085302064434,-1.81004256285599,1.26925985084845,0.372833333333333,0.774075935700565,0.163647171363483,3.55821797546659
"41","WHO_2021","WHO",2021,"TimeLastShotG35y",0.652957097560209,-1.06253056834804,2.34336958887734,0.764416666666667,1.92121365353984,0.345580188600034,10.4162760631886
"42","WHO_2021","WHO",2021,"TimeLastShotG612y",1.17644509690465,-0.47869327130056,2.82117518959654,0.91375,3.24282575692733,0.619592502351804,16.7965782420595
"43","WHO_2021","WHO",2021,"TimeLastShotG1318y",1.4865722871793,-0.419140353147508,3.36416219616501,0.938,4.42191246624454,0.657611890891638,28.9092668556499
"44","WHO_2021","WHO",2021,"VaccinePregnantNotrecommended",-0.046554738572556,-0.857432251330373,0.757318955873695,0.453833333333333,0.954512310498572,0.424250052410757,2.13255108569431
"45","WHO_2024","WHO",2024,"Intercept",-9.76239656744878,-12.8805258821741,-4.96951494778484,0,5.75764707611487e-05,2.54717442400455e-06,0.00694651664098944
"46","WHO_2024","WHO",2024,"VaccineDose4",0.149740327190684,-1.21885317894699,1.55857298814657,0.586,1.16153258513435,0.295568937312305,4.75203519385208
"47","WHO_2024","WHO",2024,"VaccineDose5",-0.160864153964537,-1.7300573765336,1.38097471909963,0.416,0.851407723615322,0.177274238296783,3.97877792887581
"48","WHO_2024","WHO",2024,"VaccineDose6",0.193031388227407,-1.52928713127317,1.90136649610933,0.58575,1.21292086435755,0.216690083854302,6.69503693619058
"49","WHO_2024","WHO",2024,"TimeFirstShotG1.52.5m",0.626462547355015,-0.313859169297519,1.61684763834198,0.905916666666667,1.87098035472113,0.730621914911973,5.03718622928329
"50","WHO_2024","WHO",2024,"TimeFirstShotG2.53.0m",1.66977734666692,0.317428845140053,3.06962607732949,0.99125,5.3109851569795,1.37359150367694,21.5338491750132
"51","WHO_2024","WHO",2024,"TimeLastShotG12y",-0.0164563929518264,-1.5417822653962,1.48825843234216,0.491833333333333,0.983678273761288,0.213999357693679,4.4293747420322
"52","WHO_2024","WHO",2024,"TimeLastShotG35y",1.47135369735828,-0.176645026687534,3.13426578714616,0.95775,4.35512667596165,0.838077226777131,22.9717634848159
"53","WHO_2024","WHO",2024,"TimeLastShotG612y",1.41930429280009,-0.204924680126666,3.03264868351155,0.956333333333333,4.13424321674281,0.814708677854938,20.7521256731948
"54","WHO_2024","WHO",2024,"TimeLastShotG1318y",1.88056382910828,0.0841863524882582,3.71003128040976,0.979,6.55720096087979,1.08783159504584,40.8550844707857
"55","WHO_2024","WHO",2024,"VaccinePregnantNotrecommended",-0.556566585286795,-1.37002666551192,0.252627691109176,0.0856666666666667,0.573173632111823,0.254100183750982,1.28740387568851
