"ISO3","Country","MaternalPertussisRecommendation","RecommendedTimingWindow","MaternalCoverageYear","MaternalCoveragePercent","MaternalCoverageType"
"AND","Andorra","Recommended","27-36w",NA,NA,NA
"ARG","Argentina","Recommended","20-36w","2024",69.45,"Administrative coverage; Official coverage"
"AUS","Australia","Recommended","20-32w","2023",72.9,"Article"
"AUT","Austria","Recommended","27-36w",NA,NA,NA
"BHS","Bahamas","Recommended","No timing specified","2024",92.34,"Administrative coverage"
"BHR","Bahrain","Not recommended",NA,"2022",13.16,"Administrative coverage; Official coverage"
"BEL","Belgium","Recommended","24-32w","2014-2015",64,"Article"
"BMU","Bermuda","Recommended","invisible","2022",18.95,"Administrative coverage"
"BRA","Brazil","Recommended","20-32w","2023",74.005,"Administrative coverage; Article"
"CAN","Canada","Recommended","27-32w","2024",65,"Administrative coverage; Official coverage"
"CHL","Chile","Recommended","28-36w","2024",65.49,"Administrative coverage"
"COL","Colombia","Recommended","26-36w","2024",74,"Official coverage"
"CRI","Costa Rica","Recommended","20-36w","2024",95.42,"Administrative coverage"
"CUB","Cuba","Not recommended",NA,"2021",100,"Administrative coverage; Official coverage"
"CYP","Cyprus","Recommended","27-36w",NA,NA,NA
"CZE","Czechia","Not recommended",NA,"2020-2021",1.6,"Article"
"DNK","Denmark","Not recommended",NA,"2024",52.03,"Administrative coverage; Official coverage"
"DMA","Dominica","Not recommended",NA,"2024",48.17,"Official coverage"
"DOM","Dominican Republic","Recommended","27-36w","2024",53.31,"Administrative coverage"
"SLV","El Salvador","Recommended","20-36w","2024",86.48,"Administrative coverage"
"FIN","Finland","Not recommended",NA,"2025",57,"Article"
"FRA","France","Recommended","20-36w","2024",62.3,"Administrative coverage"
"GMB","Gambia","Not recommended",NA,"2021",54.23,"Administrative coverage"
"DEU","Germany","Recommended","28-36w","2024",47.9,"Administrative coverage; Official coverage"
"GRC","Greece","Not recommended",NA,"2025",16.8,"Article"
"GRL","Greenland","Recommended",NA,NA,NA,NA
"GUM","Guam","Recommended","invisible","2024",59.6,"Official coverage"
"GTM","Guatemala","Recommended","20-36w","2024",54.56,"Administrative coverage"
"GNB","Guinea-Bissau","Not recommended",NA,"2023",86.92,"Administrative coverage"
"HTI","Haiti","Not recommended",NA,"2024",39.07,"Official coverage"
"HND","Honduras","Recommended","No timing specified","2024",79.405,"Official coverage; Administrative coverage"
"HUN","Hungary","Recommended","16-32w",NA,NA,NA
"ISL","Iceland","Recommended","18-36w",NA,NA,NA
"IND","India","Recommended","27-36w",NA,NA,NA
"IRL","Ireland","Recommended","16-36w","2018",49,"Article"
"ISR","Israel","Recommended","27-36w","2021",49,"Article"
"ITA","Italy","Recommended","28-36w","2023",79.52,"Article"
"LVA","Latvia","Recommended","16-38w",NA,NA,NA
"LTU","Lithuania","Recommended","27-36w",NA,NA,NA
"LUX","Luxembourg","Recommended","13-26w",NA,NA,NA
"MLI","Mali","Not recommended",NA,"2024",29.1,"Administrative coverage"
"MUS","Mauritius","Recommended","No timing specified","2024",60.58,"Administrative coverage"
"MEX","Mexico","Recommended","27-36w","2023",52.44,"Article"
"NLD","Netherlands","Recommended","22-36w","2024",66.84,"Official coverage; Administrative coverage"
"NZL","New Zealand","Recommended","16-26w","2023",61.25,"Article"
"NIC","Nicaragua","Not recommended",NA,"2023",40.98,"Administrative coverage"
"NIU","Niue","Recommended","invisible",NA,NA,NA
"MNP","Northern Mariana Islands","Not recommended",NA,"2024",59.6,"Official coverage"
"NOR","Norway","Recommended","24-36w","2024.5-2025.4",73,"Article"
"OMN","Oman","Recommended",NA,"2024",92.98,"Administrative coverage; Official coverage"
"PAK","Pakistan","Recommended",NA,NA,NA,NA
"PAN","Panama","Recommended","27-36w","2024",74.29,"Administrative coverage; Official coverage"
"PRY","Paraguay","Recommended","No timing specified","2024",62,"Official coverage"
"PER","Peru","Recommended","20-36w","2024",93.21,"Administrative coverage"
"PHL","Philippines","Recommended",NA,"2022",37.41,"Administrative coverage"
"POL","Poland","Recommended","27-36w","2023.2-2023.4",23.4,"Article"
"PRT","Portugal","Recommended","20-36w","2024",80.4,"Administrative coverage; Official coverage"
"QAT","Qatar","Recommended",NA,NA,NA,NA
"ROU","Romania","Recommended","No timing specified",NA,NA,NA
"SAU","Saudi Arabia","Recommended","27-36w","2023.3-2023.6",3.7,"Article"
"SYC","Seychelles","Not recommended",NA,"2024",0,"Official coverage"
"SGP","Singapore","Recommended","27-36w","2018-2019",25.9,"Article"
"SVK","Slovakia","Not recommended",NA,"2023",1.6,"Article"
"SVN","Slovenia","Recommended","24-36w","2023",6.5,"Article"
"ZAF","South Africa","Recommended","26-34w",NA,NA,NA
"ESP","Spain","Recommended","27-36w","2024",91.83,"Administrative coverage; Official coverage"
"SDN","Sudan","Not recommended",NA,"2022",44.05,"Administrative coverage; Official coverage"
"SWE","Sweden","Recommended","16-36w","2024",60,"Article"
"CHE","Switzerland","Recommended","13-26w","2021",85,"Article"
"THA","Thailand","Recommended",NA,"2023",0,"Administrative coverage"
"TGO","Togo","Not recommended",NA,"2021",71.77,"Administrative coverage; Official coverage"
"TTO","Trinidad and Tobago","Not recommended",NA,"2024",17.14,"Administrative coverage"
"TUR","Türkiye","Not recommended",NA,"2023.1-2023.10",11.7,"Article"
"UGA","Uganda","Not recommended",NA,"2023",83,"Official coverage"
"GBR","United Kingdom","Recommended","16-32w","2024",58.56,"Administrative coverage; Official coverage"
"USA","United States of America","Recommended","27-36w","2023",57,"Article"
"URY","Uruguay","Recommended","28-36w","2024",83.89,"Administrative coverage"
"UZB","Uzbekistan","Not recommended",NA,"2023",0,"Official coverage"
"VNM","Viet Nam","Not recommended",NA,"2023.2-2023.5",54.5,"Article"
"ZWE","Zimbabwe","Not recommended",NA,"2023",17.15,"Administrative coverage"
